age	gender	education	studyabroad	problem	contribution	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
17-25	Male	SMA	No	Limited job,Youth,CreativeTourism	Entrepreneur	Entrepreneur	Yes	Capital	No	Jawa Barat	Ekonomi	Yes	< 2
17-25	Female	D3	No	Natural resources,Media,Youth	Entrepreneur	Entrepreneur	Yes	Realistic	Yes	Banten	Ekonomi	Yes	< 2
17-25	Male	S1	No	Limited job,Education,Microeconomics	Professor	Professor	Yes	Paper,Alone,Capital	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Male	SMA	No	Limited job,Media,Youth	Professor	Professor	Yes	Paper,Alone,Capital	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	> 7
17-25	Male	S1	No	Crime,Education,Health	Entrepreneur	Entrepreneur	Yes	Realistic,Family,Communication	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Gender equality,Microeconomics,Technology	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	5-7
17-25	Female	SMA	No	Culture	Entrepreneur	Entrepreneur	Maybe	Capital,Bureaucracy	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	SMA	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Youth	Birokrat	Birokrat	Yes	Paper,Family,Alone	Yes	Lampung	Ekonomi	Yes	5-7
17-25	Male	SMA	No	Youth	Birokrat	Birokrat	Maybe	Realistic,Paper,Politics,Capital,Inside,	Yes	DKI Jakarta	Teknik	Yes	2-5
26-30	Male	S1	No	Limited job,Education,Health,Media	Entrepreneur	Entrepreneur	Yes	Paper,Family,Alone,Capital,Communication,	Yes	DKI Jakarta	Teknik	Yes	2-5
26-30	Male	S2	No	Youth	Birokrat, Entrepreneur, Professor, Professional	Birokrat, Entrepreneur, Professor, Professional	Yes	Inside	Yes	Banten	Kedokteran	Yes	2-5
17-25	Female	SMA	No	Education	Professor	Professor	Maybe	Believe	Yes	Jawa Timur	Kedokteran	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,Health,Media	Entrepreneur	Entrepreneur	Yes	Paper,Bureaucracy	No	DKI Jakarta	Bisnis	No	
17-25	Male	S1	No	Health	Entrepreneur	Entrepreneur	Yes	Paper,Politics,Capital,Communication,Bureaucracy,	Yes	DKI Jakarta	HumanSocietyiora	Yes	2-5
26-30	Male	S1	No	Crime,Education,PoliticsLaw,Defense,Defense,Media	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	DKI Jakarta	Ekonomi	Yes	< 2
17-25	Female	D3	No	Crime,Limited job,Macroeconomics,Microeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Realistic,Family	Yes	DKI Jakarta	Geografi	Yes	2-5
17-25	Female	S1	No	Health	Birokrat	Birokrat	Yes	Realistic	Yes	DKI Jakarta	sains	Yes	< 2
17-25	Female	SMA	No	Limited job,Education,Health,Youth	Professor	Professor	Yes	Believe	Yes	Banten	Kedokteran	Yes	< 2
17-25	Male	SMA	No	Crime,Limited job,Agriculture,Macroeconomics,Microeconomics,Youth	Entrepreneur	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	psikologi	Yes	< 2
26-30	Female	S2	Yes	Crime	Birokrat	Birokrat	Yes	Realistic	Yes	Jawa Barat	Teknik	Yes	< 2
26-30	Female	S1	No	Bureaucracy,HumanSociety,Media	Professor, Professional	Professor, Professional	Yes	Believe	Yes	DKI Jakarta	HumanSocietyiora	Yes	< 2
26-30	Female	S2	No	Limited job,Education,Youth	Professional	Professional	Maybe	Realistic	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Youth	Professional	Professional	Maybe	Realistic	Yes	Sumatera Utara	Kedokteran	Yes	> 7
17-25	Female	SMA	No	Education,Agriculture,Technology	Professional	Professional	Yes	Politics,Communication,Bureaucracy	Yes	DI Yogyakarta	Hukum	Yes	< 2
17-25	Male	SMA	No	Technology	Professional	Professional	Yes	Politics	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Male	S1	No	Youth	Professional	Professional	Yes	Timing	Yes	Jawa Timur	Kedokteran	Yes	> 7
17-25	Female	S2	Yes	Education,HumanSociety,Media,Youth	Birokrat	Birokrat	Yes	Politics,Bureaucracy	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
17-25	Male	S1	Yes	Limited job,PoliticsLaw	Entrepreneur	Entrepreneur	Yes	Alone	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Male	S1	Yes	Limited job,PoliticsLaw,Energy,Natural resources,Defense,Macroeconomics,Youth	Professor	Professor	Yes	Paper	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Male	S1	No	Education,Energy,Natural resources,Technology	Professional	Professional	Yes	Realistic,Politics	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	Yes	Education,Media	Professional	Professional	Yes	Paper,Alone	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	No	Energy,Natural resources	Birokrat	Birokrat	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Kedokteran	Yes	2-5
26-30	Female	S1	Yes	Crime,Limited job,Education,Energy,Technology	Entrepreneur	Entrepreneur	Maybe	Politics,Alone	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
26-30	Female	S1	Yes	Education,Agriculture,Energy,Natural resources,Defense,Media	Entrepreneur	Entrepreneur	Maybe	Realistic,Paper,Politics,Alone,Communication,	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
17-25	Male	S2	No	Limited job,Education,Youth	Professor	Professor	Maybe	Paper	Yes	Jawa Tengah	Lifescience	Yes	2-5
26-30	Male	S2	Yes	Defense,Macroeconomics,Microeconomics	Professor	Professor	Maybe	Paper,Communication	Yes	Banten	Teknik	Yes	2-5
17-25	Male	SMA	No	Limited job,Bureaucracy,Health	Activist	Activist	Yes	Realistic,Paper,Politics	Yes	Jambi	Geografi	Yes	2-5
31-35	Female	S2	Yes	Crime,Education,Media,Youth	Professional	Professional	Yes	Paper,Alone,Capital,Bureaucracy	Yes	Jawa Tengah	Pendidikan	Yes	5-7
17-25	Male	S1	No	Limited job,Education,Gender equality,Youth	Professor	Professor	Yes	Paper,Politics,Bureaucracy	Yes	Jawa Tengah	Pendidikan	Yes	2-5
17-25	Female	SMA	No	Education,Technology	Entrepreneur	Entrepreneur	Yes	Bureaucracy,Timing	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
31-35	Male	S2	Yes	Education,Media,Youth	Entrepreneur	Entrepreneur	Yes	Capital	Yes	Jambi	Teknik	Yes	< 2
17-25	Female	S1	No	Energy,Defense,Defense,Media	Professor	Professor	Yes	Realistic,Bureaucracy	Yes	Lampung	Pendidikan	Yes	2-5
17-25	Female	S1	No	Limited job,Gender equality,Natural resources,Technology,Youth	Professional	Professional	Maybe	Believe	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Energy	Entrepreneur	Entrepreneur	Yes	Inside	No	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	Yes	Education,Media	Professor	Professor	Maybe	Alone	Yes	Jawa Tengah	Sains	Yes	< 2
26-30	Male	S1	No	Limited job,Education	Professor	Professor	Yes	Alone	Yes	Sumatera Barat	Teknik	Yes	2-5
26-30	Female	S2	No	Limited job,Education,Infrastructure	Professional	Professional	Yes	Alone,Timing	Yes	DKI Jakarta	Ekonomi	No	
17-25	Female	S1	No	Technology	Professional	Professional	Yes	Believe	Yes	DKI Jakarta	Kedokteran	Yes	< 2
26-30	Male	S2	Yes	Microeconomics,Youth	Professor	Professor	Maybe	Believe	Yes	Jawa Barat	Sastra	Yes	< 2
26-30	Female	S2	Yes	Crime,Limited job,Bureaucracy,Education	Professor	Professor	Yes	Capital	Yes	Kalimantan Barat	Kehutanan	Yes	< 2
17-25	Male	S1	Yes	HumanSociety	Professor	Professor	Yes	Realistic,Inside	Yes	Jawa Timur	Sains (astronomi)	Yes	< 2
26-30	Male	S3	Yes	Bureaucracy,Agriculture	Professional	Professional	Yes	Paper,Alone,Capital	Yes	Jawa Timur	Agama	Yes	< 2
17-25	Male	S1	No	Limited job,Macroeconomics,Microeconomics,Youth	Entrepreneur	Entrepreneur	Maybe	Capital	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Female	S1	Yes	Limited job,Microeconomics	Entrepreneur	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Male	SMA	No	Crime,Limited job,Energy,Defense,Youth	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Banten	Teknik	Yes	2-5
17-25	Female	S1	Yes	Bureaucracy,Education,Energy,Media	Professor	Professor	No	Believe	Yes	DKI Jakarta	Bisnis	Yes	< 2
17-25	Female	S1	No	Limited job	Professor	Professor	Maybe	Believe	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Male	S2	No	Crime,Bureaucracy,Agriculture,Microeconomics	Professor	Professor	Yes	Realistic,Alone,Communication	Yes	DI Yogyakarta	Teknik	Yes	< 2
31-35	Female	S2	Yes	Crime,Education,Media	Entrepreneur	Entrepreneur	Maybe	Alone	Yes	DKI Jakarta	Hukum	Yes	2-5
26-30	Male	S1	No	Limited job	Professional	Professional	Yes	Paper	Yes	Sumatera Utara	Teknik	Yes	5-7
17-25	Female	S1	Yes	Crime,Limited job	Entrepreneur, Professor	Entrepreneur, Professor	Yes	Realistic,Paper,Inside	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	< 2
31-35	Male	S1	Yes	Limited job,Education,Youth	Professor	Professor	Maybe	Capital	Yes	Jawa Barat	Kedokteran	Yes	< 2
17-25	Male	SMA	No	Education	Professor	Professor	Maybe	Realistic,Politics,Family,Bureaucracy	Yes	Sumatera Barat	Geografi	Yes	2-5
26-30	Female	S2	No	Media,Macroeconomics,Microeconomics	Birokrat	Birokrat	Yes	Paper,Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	2-5
26-30	Male	S2	No	Crime,Bureaucracy,Education,Macroeconomics,Youth	Professor	Professor	Yes	Politics,Bureaucracy,Inside	Yes	Sulawesi Selatan	Teknik	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Macroeconomics,Microeconomics,Technology	Entrepreneur	Entrepreneur	Yes	Family,Alone	Yes	DI Yogyakarta	Ekonomi	Yes	> 7
26-30	Male	S1	No	Limited job,HumanSociety	Professor	Professor	Maybe	Family,Alone	Yes	Sulawesi Tengah	Keperawatan	Yes	2-5
26-30	Male	S1	No	Bureaucracy,Education,HumanSociety,Microeconomics,Youth	Professional	Professional	Yes	Capital,Bureaucracy	Yes	Kalimantan Barat	Pertanian	Yes	2-5
26-30	Male	S1	No	Crime,Media,Youth	Professional	Professional	Yes	Politics,Alone	Yes	Kalimantan Barat	Pertanian	Yes	2-5
17-25	Male	S1	Yes	Limited job,Youth,CreativeTourism	Entrepreneur	Entrepreneur	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Bisnis	Yes	5-7
17-25	Male	S1	No	Natural resources,Media,Youth	Professional	Professional	Maybe	Inside	No	Kalimantan Timur	Kedokteran	No	
31-35	Male	S2	Yes	Limited job,Education,Microeconomics	Professor	Professor	Yes	Politics	Yes	DKI Jakarta	Ekonomi	Yes	< 2
17-25	Male	S1	No	Crime,Limited job,Education,Agriculture,Energy,Natural resources,Defense,Defense,Media,Macroeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Realistic,Communication	Yes	DI Yogyakarta	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S2	Yes	Crime,Bureaucracy,PoliticsLaw,Youth	Entrepreneur	Entrepreneur	Yes	Realistic,Politics,Timing	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Female	S1	No	Limited job,Media,Youth	Professor	Professor	Yes	Believe,Capital,Bureaucracy	Yes	Jawa Barat	sains	Yes	< 2
17-25	Male	S1	No	Limited job,Education,Health,Youth	Professor	Professor	Yes	Paper,Alone,Capital,No idea,No idea,	Yes	Jawa Timur	Teknik	Yes	> 7
26-30	Male	S1	Yes	Crime,Education,Health	Professional	Professional	Yes	Politics,Bureaucracy	Yes	Riau	Teknik	Yes	2-5
17-25	Female	S2	Yes	Limited job,Education,Gender equality,Microeconomics,Technology	Birokrat	Birokrat	Yes	Paper,Alone	No	Jawa Timur	Pendidikan	Yes	2-5
17-25	Male	S1	No	Culture	Professor	Professor	Yes	Believe	Yes	DKI Jakarta	Ekonomi	Yes	2-5
26-30	Female	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Youth	Professor	Professor	Yes	Believe	Yes	DI Yogyakarta	Sains	Yes	2-5
17-25	Female	S1	No	Youth	Entrepreneur	Entrepreneur	Yes	Paper,Capital,Communication,Bureaucracy	No	Jawa Tengah	Teknik	No	
26-30	Male	S2	Yes	Education,Gender equality,Defense,Defense,Youth	Professor	Professor	Yes	Alone,Capital,Bureaucracy	Yes	DI Yogyakarta	Perbankan dan Keuangan	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Health,Media	Professional	Professional	Maybe	Capital	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	Yes	Youth	Professional	Professional	Yes	Paper,Timing	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Male	S2	Yes	Bureaucracy,Education,Media,Microeconomics	Professor	Professor	Yes	Alone	Yes	Nusa Tenggara Timur	HumanSocietyiora	Yes	> 7
17-25	Male	S1	No	Education	Professional	Professional	Maybe	Bureaucracy,Timing	No	DKI Jakarta	Teknik	No	
17-25	Female	S1	No	Bureaucracy,Health,Media	Professor	Professor	Maybe	Communication	Yes	DKI Jakarta	Sains (biologi)	Yes	2-5
26-30	Male	S1	No	Crime,Education,PoliticsLaw,Defense,Defense,Media	Professor	Professor	Maybe	Realistic,Paper,Politics,Alone,Capital,Inside	Yes	Sumatera Utara	Pendidikan	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Macroeconomics,Microeconomics,Youth	Professional	Professional	Yes	Paper	No	Jawa Barat	Kesehatan	Yes	< 2
31-35	Female	S2	Yes	Health	Professor	Professor	Yes	Believe,Communication	Yes	DI Yogyakarta	Pendidikan	Yes	< 2
17-25	Female	S1	Yes	Crime,Bureaucracy,Education,Technology	Professor	Professor	Yes	Realistic,Capital,Timing	Yes	Aceh	Pendidikan	Yes	2-5
17-25	Female	S1	Yes	Limited job,Education,Health,Youth	Professional	Professional	Yes	Realistic,Paper,Alone,Capital	Yes	DI Yogyakarta	Teknik	Yes	2-5
26-30	Male	S2	No	Crime,Limited job,Agriculture,Macroeconomics,Microeconomics,Youth	Professor	Professor	Yes	Alone	Yes	Bali	Hukum	Yes	2-5
31-35	Female	D3	Yes	Crime	Professional	Professional	Maybe	Alone	Yes	Jawa Tengah	Aviasi	Yes	< 2
17-25	Male	S2	Yes	Bureaucracy,HumanSociety,Media	Professor	Professor	Yes	Capital	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Bureaucracy	Professor	Professor	Yes	Realistic,Alone	Yes	Nusa Tenggara Timur	Teknik	Yes	> 7
26-30	Female	S2	Yes	Limited job,Education,Youth	Professor	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Male	SMA	Yes	Limited job,Education,Youth	Professor	Professor	Yes	Paper	Yes	Riau	Pendidikan	Yes	< 2
31-35	Male	S2	Yes	Education,Agriculture,Technology	Professor	Professor	Yes	Paper,Alone,Communication,Bureaucracy	Yes	Jawa Barat	Pendidikan	Yes	< 2
17-25	Male	S1	No	Technology	Professor	Professor	Yes	Realistic,Paper,Communication,Inside	Yes	Jawa Barat	Pendidikan	Yes	< 2
26-30	Female	S2	Yes	Education,HumanSociety,Media,Youth	Activist, Professional	Activist, Professional	Yes	Family	Yes	Kalimantan Tengah	Jurnalis & Studi Politik-Konflik	Yes	> 7
26-30	Male	S2	No	Limited job,PoliticsLaw	Professor	Professor	Maybe	Capital	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Limited job,PoliticsLaw,Energy,Natural resources,Defense,Macroeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Jawa Timur	Pendidikan	Yes	< 2
26-30	Male	S2	No	Education,Energy,Natural resources,Technology	Professor	Professor	Yes	Believe	No	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	Education,Media	Entrepreneur	Entrepreneur	Maybe	Believe,Family,Alone	Yes	Jawa Barat	Keselamatan dan Kesehatan Kerja	Yes	2-5
17-25	Male	S1	No	Energy,Natural resources	Entrepreneur	Entrepreneur	Maybe	Politics	Yes	Jambi	Teknik	Yes	> 7
17-25	Female	SMA	No	Crime,Limited job,Education,Energy,Technology	Entrepreneur	Entrepreneur	Yes	Believe	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Female	SMA	No	Limited job,Education,Youth	Entrepreneur	Entrepreneur	Yes	Communication	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Female	S1	Yes	Defense,Macroeconomics,Microeconomics	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Aceh	Pendidikan	Yes	< 2
26-30	Male	S1	Yes	Limited job,Bureaucracy,Health	Entrepreneur	Entrepreneur	Yes	Politics,Capital,Bureaucracy,Timing	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Education,Media,Youth	Professor	Professor	Yes	Paper,Politics,Alone,Inside	Yes	Sulawesi Utara	Pendidikan	Yes	5-7
17-25	Female	S1	No	Limited job,Education,Gender equality,Youth	Professional	Professional	Maybe	Realistic,Politics,Capital,Bureaucracy,Timing,	Yes	Sumatera Utara	Ekonomi	Yes	> 7
17-25	Male	S1	No	Education,Technology	Professional	Professional	Yes	Paper,Politics,Bureaucracy,Timing	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Energy,Defense,Defense,Media	Activist	Activist	Yes	Politics	Yes	Sumatera Selatan	Kedokteran	Yes	2-5
26-30	Female	S1	Yes	Limited job,Gender equality,Natural resources,Technology,Youth	Birokrat	Birokrat	Maybe	Realistic,Politics,Bureaucracy	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Energy	Professor	Professor	Yes	Politics,Capital	Yes	Banten	Pendidikan	Yes	2-5
17-25	Female	SMA	No	Infrastructure	Entrepreneur	Entrepreneur	Yes	Believe	Yes	Jawa Barat	Psikologi	Yes	< 2
17-25	Female	S2	No	Limited job,Bureaucracy,Education,Microeconomics,Technology	Professor	Professor	Yes	Paper,Timing	Yes	Jawa Barat	Ekonomi	Yes	> 7
17-25	Male	S1	No	Education,PoliticsLaw,Media	Professor	Professor	Yes	Paper,Politics,Family,Alone,Communication,	Yes	Banten	Sastra	Yes	2-5
17-25	Male	S1	No	Energy,Natural resources,Technology	Professional	Professional	Yes	Realistic,Timing	Yes	Riau	Teknik	Yes	2-5
17-25	Male	S1	Yes	Education,Culture	Professor	Professor	Yes	Believe	Yes	DKI Jakarta	Teknologi Pangan 	Yes	2-5
17-25	Female	S1	No	Health,Media	Professor	Professor	Yes	Politics	Yes	DKI Jakarta	Pendidikan	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,Energy,Natural resources,Defense,Youth	Birokrat	Birokrat	Yes	Politics,Bureaucracy	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	PoliticsLaw	Professor	Professor	Yes	Politics,Alone	Yes	DKI Jakarta	Teknik	Yes	5-7
17-25	Male	S1	No	Education,Gender equality,Agriculture,HumanSociety,Media,Macroeconomics,Microeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Paper,Family,Communication,Timing	Yes	Sumatera Barat	Pendidikan	Yes	< 2
26-30	Male	S1	No	Agriculture,Agriculture	Entrepreneur	Entrepreneur	Yes	Realistic	Yes	Aceh	Teknik	Yes	2-5
17-25	Male	S1	No	Agriculture,Agriculture	Professor	Professor	Yes	Believe	Yes	Riau	Natural science	Yes	5-7
17-25	Male	SMA	No	Bureaucracy,Defense,Microeconomics,Technology	Entrepreneur	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Sains	Yes	< 2
26-30	Female	S1	No	Bureaucracy,Education,Agriculture,Energy,Natural resources,Defense,Macroeconomics,Microeconomics	Professional	Professional	Yes	Paper,Alone,Bureaucracy	Yes	DKI Jakarta	supply chain management	Yes	> 7
17-25	Male	S1	No	Limited job,Macroeconomics,Technology	Birokrat	Birokrat	Yes	Believe	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Male	S1	Yes	Energy,Technology,Youth	Professional	Professional	Yes	Believe	Yes	DKI Jakarta	Agama	Yes	2-5
31-35	Male	S1	No	Crime,PoliticsLaw	Professional	Professional	Maybe	Believe	No	DKI Jakarta	Teknik	No	
26-30	Female	S1	No	Crime,Bureaucracy,Education,Gender equality,PoliticsLaw,Agriculture,Energy,Natural resources,Media,Youth,	Professor	Professor	Yes	Family	Yes	Jawa Barat	Sains	Yes	2-5
26-30	Male	S1	No	Bureaucracy,Education,Microeconomics	Birokrat	Birokrat	Yes	Believe	Yes	Jawa Barat	Sains statistika	Yes	> 7
26-30	Female	S1	No	Crime,Education,PoliticsLaw	Professional	Professional	Yes	Believe	Yes	Sumatera Utara	Teknik	Yes	2-5
17-25	Female	S1	No	Education,Macroeconomics,Microeconomics	Activist	Activist	Maybe	Believe	Yes	Jawa Tengah	farmasi	Yes	2-5
17-25	Male	SMA	No	Bureaucracy,Education,PoliticsLaw,Technology	Professional	Professional	Maybe	Politics	Yes	Sumatera Selatan	Teknik	Yes	2-5
26-30	Female	S2	Yes	Education	Professional	Professional	Yes	Realistic,Paper,Politics,Capital,Communication,Timing	Yes	DKI Jakarta	Kedokteran	Yes	< 2
26-30	Male	S1	Yes	Education,Health,Gender equality,HumanSociety,Youth	Professional	Professional	Maybe	Believe	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Energy	Professor	Professor	Yes	Alone,Bureaucracy	Yes	Aceh	Kedokteran	Yes	2-5
26-30	Female	S2	Yes	Education	Entrepreneur	Entrepreneur	Maybe	Bureaucracy,Timing	Yes	Sumatera Utara	Sistem Informasi/ Komputer	Yes	5-7
17-25	Male	S1	No	Health,Agriculture,Media,Youth	Professional, Entrepreneur	Professional, Entrepreneur	Yes	Capital	Yes	Papua	Statistik	Yes	5-7
26-30	Female	S2	Yes	Education	Birokrat	Birokrat	Maybe	Realistic,Alone,Communication	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Education	Professor	Professor	Maybe	Paper,Politics,Alone,Capital,Timing,	Yes	Sulawesi Selatan	Accounting	Yes	> 7
26-30	Female	S1	Yes	Macroeconomics	Birokrat	Birokrat	Maybe	Politics	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Male	S1	No	PoliticsLaw	Professor	Professor	Yes	Realistic,Capital,Communication,No idea,Bureaucracy,	Yes	Kepulauan Riau	Ekonomi	Yes	> 7
26-30	Male	S1	No	Bureaucracy,Education,Media	Entrepreneur	Entrepreneur	Yes	Bureaucracy	Yes	Banten	Hukum	Yes	< 2
26-30	Male	S1	No	Crime,Bureaucracy,Energy,Technology	Entrepreneur	Entrepreneur	Yes	Bureaucracy	Yes	Banten	Hukum	Yes	< 2
17-25	Male	S2	No	Crime,Education,PoliticsLaw,Energy,Natural resources	Birokrat	Birokrat	Yes	Paper	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	No	Education,Health,Gender equality,HumanSociety	Professor	Professor	Yes	Believe	Yes	Sumatera Utara	kesehatan masyarakat	Yes	2-5
26-30	Male	S2	No	Media,Youth	Birokrat	Birokrat	Maybe		Yes	Lampung	Kedokteran	Yes	< 2
17-25	Female	S1	Yes	Education,Youth	Entrepreneur	Entrepreneur	Yes	Bureaucracy	Yes	Jawa Timur	Ilmu Sosial dan Politik	Yes	5-7
26-30	Male	S1	No	Education	Birokrat, Professor	Birokrat, Professor	Yes	Believe	Yes	Sulawesi Selatan	Hukum	Yes	> 7
17-25	Male	S1	No	Gender equality,HumanSociety,Media	Professional	Professional	Yes	Believe	Yes	Aceh	Hukum	Yes	2-5
