age	gender	education	studyabroad	problem	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
17-25	Male	S2	No	Limited job,Education,Youth	Professor	Maybe	Paper	Yes	Jawa Tengah	Sains	Yes	2-5
26-30	Male	S2	Yes	Defense,Macroeconomics,Microeconomics	Professor	Maybe	Paper,Communication	Yes	Banten	Teknik	Yes	2-5
17-25	Male	SMA	No	Limited job,Bureaucracy,Health	Activist	Yes	Realistic,Paper,Politics	Yes	Jambi	Geografi	Yes	2-5
31-35	Female	S2	Yes	Crime,Education,Media,Youth	Professional	Yes	Paper,Alone,Capital,Bureaucracy	Yes	Jawa Tengah	Pendidikan	Yes	5-7
17-25	Male	S1	No	Limited job,Education,Gender equality,Youth	Professor	Yes	Paper,Politics,Bureaucracy	Yes	Jawa Tengah	Pendidikan	Yes	2-5
17-25	Female	SMA	No	Education,Technology	Entrepreneur	Yes	Bureaucracy,Timing	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
31-35	Male	S2	Yes	Education,Media,Youth	Entrepreneur	Yes	Capital	Yes	Jambi	Teknik	Yes	< 2
17-25	Female	S1	No	Energy,Defense,Defense,Media	Professor	Yes	Realistic,Bureaucracy	Yes	Lampung	Pendidikan	Yes	2-5
17-25	Female	S1	No	Limited job,Gender equality,Natural resources,Technology,Youth	Professional	Maybe	Believe	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Energy	Entrepreneur	Yes	Inside	No	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	Yes	Education,Media	Professor	Maybe	Alone	Yes	Jawa Tengah	Sains	Yes	< 2
26-30	Male	S1	No	Limited job,Education	Professor	Yes	Alone	Yes	Sumatera Barat	Teknik	Yes	2-5
26-30	Female	S2	No	Limited job,Education,Infrastructure	Professional	Yes	Alone,Timing	Yes	DKI Jakarta	Ekonomi	No
17-25	Female	S1	No	Technology	Professional	Yes	Believe	Yes	DKI Jakarta	Kedokteran	Yes	< 2
26-30	Male	S2	Yes	Microeconomics,Youth	Professor	Maybe	Believe	Yes	Jawa Barat	Sastra	Yes	< 2
26-30	Female	S2	Yes	Crime,Limited job,Bureaucracy,Education	Professor	Yes	Capital	Yes	Kalimantan Barat	Sains	Yes	< 2
17-25	Male	S1	Yes	HumanSociety	Professor	Yes	Realistic,Inside	Yes	Jawa Timur	Sains	Yes	< 2
26-30	Male	S3	Yes	Bureaucracy,Agriculture	Professional	Yes	Paper,Alone,Capital	Yes	Jawa Timur	Agama	Yes	< 2
17-25	Male	S1	No	Limited job,Macroeconomics,Microeconomics,Youth	Entrepreneur	Maybe	Capital	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Female	S1	Yes	Limited job,Microeconomics	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Male	SMA	No	Crime,Limited job,Energy,Defense,Youth	Professor	Yes	Politics,Bureaucracy	Yes	Banten	Teknik	Yes	2-5
17-25	Female	S1	Yes	Bureaucracy,Education,Energy,Media	Professor	No	Believe	Yes	DKI Jakarta	Bisnis	Yes	< 2
17-25	Female	S1	No	Limited job	Professor	Maybe	Believe	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Male	S2	No	Crime,Bureaucracy,Agriculture,Microeconomics	Professor	Yes	Realistic,Alone,Communication	Yes	DI Yogyakarta	Teknik	Yes	< 2
31-35	Female	S2	Yes	Crime,Education,Media	Entrepreneur	Maybe	Alone	Yes	DKI Jakarta	Hukum	Yes	2-5
26-30	Male	S1	No	Limited job	Professional	Yes	Paper	Yes	Sumatera Utara	Teknik	Yes	5-7
17-25	Female	S1	Yes	Crime,Limited job	Entrepreneur, Professor	Yes	Realistic,Paper,Inside	Yes	Jawa Timur	Seni/ Desain/ Media	Yes	< 2
31-35	Male	S1	Yes	Limited job,Education,Youth	Professor	Maybe	Capital	Yes	Jawa Barat	Kedokteran	Yes	< 2
17-25	Male	SMA	No	Education	Professor	Maybe	Realistic,Politics,Family,Bureaucracy	Yes	Sumatera Barat	Geografi	Yes	2-5
26-30	Female	S2	No	Media,Macroeconomics,Microeconomics	Birokrat	Yes	Paper,Bureaucracy	Yes	DKI Jakarta	Ekonomi	Yes	2-5
26-30	Male	S2	No	Crime,Bureaucracy,Education,Macroeconomics,Youth	Professor	Yes	Politics,Bureaucracy,Inside	Yes	Sulawesi Selatan	Teknik	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Macroeconomics,Microeconomics,Technology	Entrepreneur	Yes	Family,Alone	Yes	DI Yogyakarta	Ekonomi	Yes	> 7
26-30	Male	S1	No	Limited job,HumanSociety	Professor	Maybe	Family,Alone	Yes	Sulawesi Tengah	Kesehatan	Yes	2-5
26-30	Male	S1	No	Bureaucracy,Education,HumanSociety,Microeconomics,Youth	Professional	Yes	Capital,Bureaucracy	Yes	Kalimantan Barat	Pertanian	Yes	2-5
26-30	Male	S1	No	Crime,Media,Youth	Professional	Yes	Politics,Alone	Yes	Kalimantan Barat	Pertanian	Yes	2-5
17-25	Male	S1	Yes	Limited job,Youth,CreativeTourism	Entrepreneur	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Bisnis	Yes	5-7
17-25	Male	S1	No	Natural resources,Media,Youth	Professional	Maybe	Inside	No	Kalimantan Timur	Kedokteran	No
31-35	Male	S2	Yes	Limited job,Education,Microeconomics	Professor	Yes	Politics	Yes	DKI Jakarta	Ekonomi	Yes	< 2
17-25	Male	S1	No	Crime,Limited job,Education,Agriculture,Energy,Natural resources,Defense,Defense,Media,Macroeconomics,Youth	Entrepreneur	Yes	Realistic,Communication	Yes	DI Yogyakarta	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S2	Yes	Crime,Bureaucracy,PoliticsLaw,Youth	Entrepreneur	Yes	Realistic,Politics,Timing	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Female	S1	No	Limited job,Media,Youth	Professor	Yes	Believe,Capital,Bureaucracy	Yes	Jawa Barat	sains	Yes	< 2
17-25	Male	S1	No	Limited job,Education,Health,Youth	Professor	Yes	Paper,Alone,Capital,No idea,No idea,	Yes	Jawa Timur	Teknik	Yes	> 7
26-30	Male	S1	Yes	Crime,Education,Health	Professional	Yes	Politics,Bureaucracy	Yes	Riau	Teknik	Yes	2-5
17-25	Female	S2	Yes	Limited job,Education,Gender equality,Microeconomics,Technology	Birokrat	Yes	Paper,Alone	No	Jawa Timur	Pendidikan	Yes	2-5
17-25	Male	S1	No	Culture	Professor	Yes	Believe	Yes	DKI Jakarta	Ekonomi	Yes	2-5
26-30	Female	S1	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Youth	Professor	Yes	Believe	Yes	DI Yogyakarta	Sains	Yes	2-5
17-25	Female	S1	No	Youth	Entrepreneur	Yes	Paper,Capital,Communication,Bureaucracy	No	Jawa Tengah	Teknik	No
26-30	Male	S2	Yes	Education,Gender equality,Defense,Defense,Youth	Professor	Yes	Alone,Capital,Bureaucracy	Yes	DI Yogyakarta	Bisnis	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Health,Media	Professional	Maybe	Capital	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	Yes	Youth	Professional	Yes	Paper,Timing	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Male	S2	Yes	Bureaucracy,Education,Media,Microeconomics	Professor	Yes	Alone	Yes	Nusa Tenggara Timur	HumanSocietyiora	Yes	> 7
17-25	Male	S1	No	Education	Professional	Maybe	Bureaucracy,Timing	No	DKI Jakarta	Teknik	No
17-25	Female	S1	No	Bureaucracy,Health,Media	Professor	Maybe	Communication	Yes	DKI Jakarta	Sains	Yes	2-5
26-30	Male	S1	No	Crime,Education,PoliticsLaw,Defense,Defense,Media	Professor	Maybe	Realistic,Paper,Politics,Alone,Capital,Inside	Yes	Sumatera Utara	Pendidikan	Yes	2-5
17-25	Female	S1	No	Crime,Limited job,Macroeconomics,Microeconomics,Youth	Professional	Yes	Paper	No	Jawa Barat	Kesehatan	Yes	< 2
31-35	Female	S2	Yes	Health	Professor	Yes	Believe,Communication	Yes	DI Yogyakarta	Pendidikan	Yes	< 2
17-25	Female	S1	Yes	Crime,Bureaucracy,Education,Technology	Professor	Yes	Realistic,Capital,Timing	Yes	Aceh	Pendidikan	Yes	2-5
17-25	Female	S1	Yes	Limited job,Education,Health,Youth	Professional	Yes	Realistic,Paper,Alone,Capital	Yes	DI Yogyakarta	Teknik	Yes	2-5
26-30	Male	S2	No	Crime,Limited job,Agriculture,Macroeconomics,Microeconomics,Youth	Professor	Yes	Alone	Yes	Bali	Hukum	Yes	2-5
31-35	Female	D3	Yes	Crime	Professional	Maybe	Alone	Yes	Jawa Tengah	Teknik	Yes	< 2
17-25	Male	S2	Yes	Bureaucracy,HumanSociety,Media	Professor	Yes	Capital	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Bureaucracy	Professor	Yes	Realistic,Alone	Yes	Nusa Tenggara Timur	Teknik	Yes	> 7
26-30	Female	S2	Yes	Limited job,Education,Youth	Professor	Yes	Paper	Yes	Jawa Barat	Teknik	Yes	< 2
17-25	Male	SMA	Yes	Limited job,Education,Youth	Professor	Yes	Paper	Yes	Riau	Pendidikan	Yes	< 2
31-35	Male	S2	Yes	Education,Agriculture,Technology	Professor	Yes	Paper,Alone,Communication,Bureaucracy	Yes	Jawa Barat	Pendidikan	Yes	< 2
17-25	Male	S1	No	Technology	Professor	Yes	Realistic,Paper,Communication,Inside	Yes	Jawa Barat	Pendidikan	Yes	< 2
26-30	Female	S2	Yes	Education,HumanSociety,Media,Youth	Activist, Professional	Yes	Family	Yes	Kalimantan Tengah	Sastra	Yes	> 7
26-30	Male	S2	No	Limited job,PoliticsLaw	Professor	Maybe	Capital	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Limited job,PoliticsLaw,Energy,Natural resources,Defense,Macroeconomics,Youth	Entrepreneur	Yes	Believe	Yes	Jawa Timur	Pendidikan	Yes	< 2
26-30	Male	S2	No	Education,Energy,Natural resources,Technology	Professor	Yes	Believe	No	Jawa Barat	Teknik	Yes	2-5
17-25	Male	S1	No	Education,Media	Entrepreneur	Maybe	Believe,Family,Alone	Yes	Jawa Barat	HumanSocietyiora	Yes	2-5
17-25	Male	S1	No	Energy,Natural resources	Entrepreneur	Maybe	Politics	Yes	Jambi	Teknik	Yes	> 7
17-25	Female	SMA	No	Crime,Limited job,Education,Energy,Technology	Entrepreneur	Yes	Believe	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Female	SMA	No	Limited job,Education,Youth	Entrepreneur	Yes	Communication	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Female	S1	Yes	Defense,Macroeconomics,Microeconomics	Entrepreneur	Yes	Believe	Yes	Aceh	Pendidikan	Yes	< 2
26-30	Male	S1	Yes	Limited job,Bureaucracy,Health	Entrepreneur	Yes	Politics,Capital,Bureaucracy,Timing	Yes	Jawa Barat	Teknik	Yes	2-5
17-25	Female	S1	No	Crime,Education,Media,Youth	Professor	Yes	Paper,Politics,Alone,Inside	Yes	Sulawesi Utara	Pendidikan	Yes	5-7
17-25	Female	S1	No	Limited job,Education,Gender equality,Youth	Professional	Maybe	Realistic,Politics,Capital,Bureaucracy,Timing,	Yes	Sumatera Utara	Ekonomi	Yes	> 7
17-25	Male	S1	No	Education,Technology	Professional	Yes	Paper,Politics,Bureaucracy,Timing	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Energy,Defense,Defense,Media	Activist	Yes	Politics	Yes	Sumatera Selatan	Kedokteran	Yes	2-5
26-30	Female	S1	Yes	Limited job,Gender equality,Natural resources,Technology,Youth	Birokrat	Maybe	Realistic,Politics,Bureaucracy	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Energy	Professor	Yes	Politics,Capital	Yes	Banten	Pendidikan	Yes	2-5
17-25	Female	SMA	No	Infrastructure	Entrepreneur	Yes	Believe	Yes	Jawa Barat	Psikologi	Yes	< 2
17-25	Female	S2	No	Limited job,Bureaucracy,Education,Microeconomics,Technology	Professor	Yes	Paper,Timing	Yes	Jawa Barat	Ekonomi	Yes	> 7
17-25	Male	S1	No	Education,PoliticsLaw,Media	Professor	Yes	Paper,Politics,Family,Alone,Communication,	Yes	Banten	Sastra	Yes	2-5
17-25	Male	S1	No	Energy,Natural resources,Technology	Professional	Yes	Realistic,Timing	Yes	Riau	Teknik	Yes	2-5
17-25	Male	S1	Yes	Education,Culture	Professor	Yes	Believe	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Female	S1	No	Health,Media	Professor	Yes	Politics	Yes	DKI Jakarta	Pendidikan	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,Energy,Natural resources,Defense,Youth	Birokrat	Yes	Politics,Bureaucracy	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	PoliticsLaw	Professor	Yes	Politics,Alone	Yes	DKI Jakarta	Teknik	Yes	5-7
17-25	Male	S1	No	Education,Gender equality,Agriculture,HumanSociety,Media,Macroeconomics,Microeconomics,Youth	Entrepreneur	Yes	Paper,Family,Communication,Timing	Yes	Sumatera Barat	Pendidikan	Yes	< 2
26-30	Male	S1	No	Agriculture,Agriculture	Entrepreneur	Yes	Realistic	Yes	Aceh	Teknik	Yes	2-5
17-25	Male	S1	No	Agriculture,Agriculture	Professor	Yes	Believe	Yes	Riau	Sains	Yes	5-7
17-25	Male	SMA	No	Bureaucracy,Defense,Microeconomics,Technology	Entrepreneur	Yes	Believe	Yes	DKI Jakarta	Sains	Yes	< 2
26-30	Female	S1	No	Bureaucracy,Education,Agriculture,Energy,Natural resources,Defense,Macroeconomics,Microeconomics	Professional	Yes	Paper,Alone,Bureaucracy	Yes	DKI Jakarta	Teknik	Yes	> 7
17-25	Male	S1	No	Limited job,Macroeconomics,Technology	Birokrat	Yes	Believe	Yes	Jawa Timur	Pendidikan	Yes	< 2
17-25	Male	S1	Yes	Energy,Technology,Youth	Professional	Yes	Believe	Yes	DKI Jakarta	Agama	Yes	2-5
31-35	Male	S1	No	Crime,PoliticsLaw	Professional	Maybe	Believe	No	DKI Jakarta	Teknik	No
26-30	Female	S1	No	Crime,Bureaucracy,Education,Gender equality,PoliticsLaw,Agriculture,Energy,Natural resources,Media,Youth,	Professor	Yes	Family	Yes	Jawa Barat	Sains	Yes	2-5
26-30	Male	S1	No	Bureaucracy,Education,Microeconomics	Birokrat	Yes	Believe	Yes	Jawa Barat	Sains	Yes	> 7
26-30	Female	S1	No	Crime,Education,PoliticsLaw	Professional	Yes	Believe	Yes	Sumatera Utara	Teknik	Yes	2-5
17-25	Female	S1	No	Education,Macroeconomics,Microeconomics	Activist	Maybe	Believe	Yes	Jawa Tengah	Sains	Yes	2-5
17-25	Male	SMA	No	Bureaucracy,Education,PoliticsLaw,Technology	Professional	Maybe	Politics	Yes	Sumatera Selatan	Teknik	Yes	2-5
26-30	Female	S2	Yes	Education	Professional	Yes	Realistic,Paper,Politics,Capital,Communication,Timing	Yes	DKI Jakarta	Kedokteran	Yes	< 2
26-30	Male	S1	Yes	Education,Health,Gender equality,HumanSociety,Youth	Professional	Maybe	Believe	Yes	DKI Jakarta	Teknik	Yes	< 2
17-25	Female	S1	No	Energy	Professor	Yes	Alone,Bureaucracy	Yes	Aceh	Kedokteran	Yes	2-5
26-30	Female	S2	Yes	Education	Entrepreneur	Maybe	Bureaucracy,Timing	Yes	Sumatera Utara	Sistem Informasi/ Komputer	Yes	5-7
17-25	Male	S1	No	Health,Agriculture,Media,Youth	Professional, Entrepreneur	Yes	Capital	Yes	Papua	Sains	Yes	5-7
26-30	Female	S2	Yes	Education	Birokrat	Maybe	Realistic,Alone,Communication	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Education	Professor	Maybe	Paper,Politics,Alone,Capital,Timing,	Yes	Sulawesi Selatan	Ekonomi	Yes	> 7
26-30	Female	S1	Yes	Macroeconomics	Birokrat	Maybe	Politics	Yes	DKI Jakarta	Hukum	Yes	2-5
17-25	Male	S1	No	PoliticsLaw	Professor	Yes	Realistic,Capital,Communication,No idea,Bureaucracy,	Yes	Kepulauan Riau	Ekonomi	Yes	> 7
26-30	Male	S1	No	Bureaucracy,Education,Media	Entrepreneur	Yes	Bureaucracy	Yes	Banten	Hukum	Yes	< 2
26-30	Male	S1	No	Crime,Bureaucracy,Energy,Technology	Entrepreneur	Yes	Bureaucracy	Yes	Banten	Hukum	Yes	< 2
17-25	Male	S2	No	Crime,Education,PoliticsLaw,Energy,Natural resources	Birokrat	Yes	Paper	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	No	Education,Health,Gender equality,HumanSociety	Professor	Yes	Believe	Yes	Sumatera Utara	Kesehatan	Yes	2-5
26-30	Male	S2	No	Media,Youth	Birokrat	Maybe		Yes	Lampung	Kedokteran	Yes	< 2
17-25	Female	S1	Yes	Education,Youth	Entrepreneur	Yes	Bureaucracy	Yes	Jawa Timur	Ilmu Sosial dan Politik	Yes	5-7
26-30	Male	S1	No	Education	Birokrat, Professor	Yes	Believe	Yes	Sulawesi Selatan	Hukum	Yes	> 7
17-25	Male	S1	No	Gender equality,HumanSociety,Media	Professional	Yes	Believe	Yes	Aceh	Hukum	Yes	2-5
31-35	Male	S2	Yes	Education,Technology	Professional	Yes	Capital	Yes	Lampung	Ilmu Sosial dan Politik	Yes	2-5
17-25	Female	S1	Yes	Limited job,Technology,Youth	Entrepreneur	Yes	Paper,Family	Yes	DI Yogyakarta	Bisnis	Yes	< 2
26-30	Female	S1	No	Bureaucracy,Macroeconomics,Technology	Professional	Yes	Believe	Yes	Sumatera Selatan	Ilmu Sosial dan Politik	Yes	5-7
26-30	Male	S1	Yes	Disaster	Birokrat	Maybe	Paper,Alone,Bureaucracy	Yes	DKI Jakarta	Hubungan Internasional	Yes	2-5
17-25	Female	SMA	No	Crime,Limited job,Bureaucracy,Education,Agriculture,Energy,Natural resources,Technology	Professor	Yes	Paper,Communication	Yes	Sumatera Utara	Sastra	Yes	< 2
17-25	Male	S1	No	Limited job	Professor	Yes	Paper,Alone,Communication	Yes	Sulawesi Selatan	Ekonomi	Yes	2-5
17-25	Male	S1	Yes	Limited job	Professor	Yes	Politics,Bureaucracy	Yes	Sumatera Utara	Teknik	Yes	> 7
17-25	Male	S2	No	Limited job,Education,HumanSociety,Media	Professor	Yes	Believe	No	DI Yogyakarta	Sains	No
17-25	Female	S1	No	Limited job,Energy,Natural resources	Professor	Yes	Paper	Yes	Kalimantan Timur	Teknik	Yes	2-5
17-25	Male	S1	No	Education	Professor	Maybe	Politics	Yes	Gorontalo	Ekonomi	Yes	< 2
35+	Female	S2	Yes	Energy,Natural resources	Birokrat	Maybe	Bureaucracy	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Female	S1	Yes	Bureaucracy,Health,PoliticsLaw	Professor	Yes	Alone	Yes	Jawa Barat	Sains	Yes	< 2
26-30	Female	S1	No	Crime,PoliticsLaw,HumanSociety,Media	Professor	Yes	Politics	Yes	Nusa Tenggara Barat	Sains	Yes	> 7
17-25	Female	SMA	No	Education,Children	Professional	Yes	Believe,Timing,Inside	Yes	DKI Jakarta	Pendidikan	Yes	< 2
17-25	Female	S1	No	Youth	Professor	Yes	Believe	Yes	Jawa Timur	Kesehatan	Yes	< 2
